epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.895,1.32715,3.89502,1.68088,0.26408,0.1164,0.05771,0.0246,2.22684,3.76035,2.21625,0.000252723,0.000252723,0.000252723
2,319.982,1.25637,2.62639,1.61082,0.06337,0.07677,0.03706,0.01396,2.38685,4.36148,2.56609,0.000504017,0.000504017,0.000504017
3,339.94,1.31912,2.55366,1.65258,0.03182,0.07604,0.0187,0.00629,2.37392,4.28044,2.62981,0.000750235,0.000750235,0.000750235
4,359.999,1.29086,2.4877,1.63294,0.23469,0.07658,0.04886,0.0199,2.33352,3.80587,2.41176,0.000746161,0.000746161,0.000746161
5,379.899,1.26434,2.43301,1.60172,0.21764,0.08156,0.05438,0.0227,2.47484,4.14106,2.52566,0.000738548,0.000738548,0.000738548
6,399.812,1.27016,2.40944,1.60588,0.21341,0.07674,0.04165,0.0161,2.93222,4.36941,2.91984,0.000730935,0.000730935,0.000730935
7,419.739,1.21445,2.31337,1.57156,0.09086,0.0867,0.04708,0.01897,2.28561,3.91351,2.31562,0.000723321,0.000723321,0.000723321
8,439.667,1.19223,2.26011,1.55541,0.19377,0.08676,0.05775,0.02765,2.12641,3.7371,2.23484,0.000715708,0.000715708,0.000715708
9,459.703,1.14031,2.25949,1.52257,0.34894,0.08965,0.04806,0.02181,2.28123,4.02638,2.32385,0.000708095,0.000708095,0.000708095
10,479.724,1.1351,2.22207,1.51868,0.20615,0.07938,0.05456,0.02402,2.26481,4.10896,2.33142,0.000700482,0.000700482,0.000700482
11,499.621,1.16227,2.19989,1.52931,0.45641,0.0822,0.07975,0.03908,2.10502,3.5442,2.1945,0.000692869,0.000692869,0.000692869
12,519.583,1.12668,2.18943,1.49947,0.12424,0.09342,0.06884,0.03016,2.12226,3.75945,2.2467,0.000685256,0.000685256,0.000685256
13,539.562,1.08862,2.15346,1.47509,0.49744,0.09267,0.07132,0.03644,2.14786,3.84296,2.2176,0.000677643,0.000677643,0.000677643
14,559.425,1.09465,2.08454,1.48033,0.38662,0.09081,0.08669,0.0369,2.20309,3.46334,2.21931,0.00067003,0.00067003,0.00067003
15,579.275,1.06641,2.06572,1.46424,0.4736,0.08009,0.06627,0.03411,2.26897,3.9524,2.25694,0.000662417,0.000662417,0.000662417
16,599.251,1.08249,2.07991,1.47733,0.46777,0.07626,0.07517,0.0409,2.16416,3.83185,2.20125,0.000654804,0.000654804,0.000654804
17,619.182,1.07695,2.03684,1.47886,0.55486,0.07355,0.07779,0.03801,2.0962,3.66901,2.15251,0.00064719,0.00064719,0.00064719
18,639.052,1.05806,2.04259,1.45942,0.42268,0.09311,0.0816,0.04345,2.07117,3.57019,2.15907,0.000639577,0.000639577,0.000639577
19,658.95,1.06973,2.05378,1.46054,0.26406,0.09153,0.07579,0.04112,2.05823,3.72627,2.13222,0.000631964,0.000631964,0.000631964
20,678.801,1.02264,1.94512,1.42113,0.30589,0.10757,0.08634,0.04495,2.05452,3.41131,2.14607,0.000624351,0.000624351,0.000624351
21,698.791,1.04902,1.95941,1.45166,0.25804,0.08839,0.08012,0.04096,2.08964,3.69437,2.21103,0.000616738,0.000616738,0.000616738
22,718.764,1.00517,1.95952,1.41456,0.59342,0.0839,0.08485,0.04712,2.07247,3.62615,2.22788,0.000609125,0.000609125,0.000609125
23,738.754,1.01693,1.96264,1.42543,0.31106,0.09018,0.0868,0.04458,1.92602,3.59236,2.09415,0.000601512,0.000601512,0.000601512
24,759.038,0.98602,1.89559,1.40487,0.13722,0.09159,0.0807,0.03972,2.13227,3.94245,2.27751,0.000593899,0.000593899,0.000593899
25,779.025,1.01515,1.94502,1.42117,0.30496,0.09795,0.08759,0.04801,2.08816,3.53722,2.14674,0.000586286,0.000586286,0.000586286
26,799.1,0.9894,1.87645,1.40426,0.41835,0.09551,0.08676,0.04218,2.06122,3.53906,2.09879,0.000578672,0.000578672,0.000578672
